grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,nll,nll_q0,nll_q1,nll_q2,nll_q3,samples,step,eval_loss,eval_loss_q0,eval_loss_q1,eval_loss_q2,eval_loss_q3,eval_mse,eval_mse_q0,eval_mse_q1,eval_mse_q2,eval_mse_q3,eval_nll,eval_nll_q0,eval_nll_q1,eval_nll_q2,eval_nll_q3
17.049353687454175,6.095738917589187,6.000734256360228,6.1005648041406015,6.2257420218262425,6.062548980889504,0.9316263888031246,0.8981901490855558,0.9296547736505133,0.944080202599243,0.953305175679701,17.2199581861496,13.65592901920438,16.25787891861153,18.418360186906547,20.378617518036446,2048,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6.159644603729248,6.040234595597394,6.180240568794701,6.1600546811768915,6.251088366394952,0.9074702393263576,0.8743190700357613,0.9054955747717932,0.9179207466408347,0.9307838107290739,26.14699327945709,21.782525831280363,25.817007245098008,27.515160826260725,29.294152519589368
17.019723955682657,5.249521544029265,5.248058736396514,5.250378428690991,5.248849125749667,5.251275030093061,0.31169567384123625,0.3071177693284154,0.3120685289551553,0.31226305450157027,0.31537766207643747,26.512252980369976,23.82262190891402,26.683919058487405,27.408388060790195,28.145275758551808,1026048,500,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4.791672512888911,4.784352929636654,4.582256816428062,4.902315632854498,4.8958010720206095,0.027883877686690543,0.02683369217332281,0.027495752768824336,0.02796651515729571,0.029081605348060553,9.843922436237337,9.210892840539765,9.822242924243724,9.980594087133614,10.291683384503251
16.28168881027896,4.458884992122031,4.458367739959574,4.4580718483537405,4.459560529764119,4.459928041318972,0.02285678541258718,0.02141641587474732,0.022465959053375305,0.02312772234098926,0.024420354207550773,9.221209400621095,8.329173185695046,9.18232018416023,9.505385636083581,9.869159460754522,2050048,1000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4.295314088463786,4.600286037807192,4.199271713376174,4.305871939083898,4.088765750314264,0.02189093717606738,0.02024268752908574,0.021563672939110098,0.021802604280579962,0.023872763210864272,8.850598841905594,7.863673706404308,8.775626794559763,8.971616514180893,9.738512370937547
16.2460075278303,3.973469042498971,3.972864802673729,3.973851833975257,3.973178582000958,3.974320431119311,0.02160489988308626,0.02009011440473902,0.021210156385973122,0.021934317167254157,0.023178424132607785,8.489794257403322,7.507943770974562,8.395989923470365,8.806872349447888,9.244062925052997,3074048,1500,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.688118509948253,3.721272930358759,3.678914610893673,3.643309190940972,3.704574711053919,0.021281774679664522,0.019406731181319754,0.020223910927431272,0.021961314945967255,0.023421843571628916,8.189366057515148,7.039004866092923,7.826078324827531,8.65615850941747,9.188796433849596
16.231264150940675,3.5069855858817602,3.5069598352740092,3.5067567690045935,3.506789140213517,3.507742568262809,0.02100063002134243,0.01933004671895832,0.020627598834530258,0.021390545127406353,0.02266230137343897,7.775196816273279,6.720712193708978,7.635915384538903,8.114855851998335,8.634437667521143,4098048,2000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.300285778939724,3.2249392582172574,3.355381562693956,3.3204850394555,3.303740432789633,0.021054930286481983,0.019553366661812475,0.020442861480607602,0.021406730049045315,0.022669052598876464,7.4406614750623685,6.416701703973218,7.21868176893754,7.799582422137983,8.262451242709494
16.200071389361167,3.0592565792744755,3.0584849300752315,3.0595500584512747,3.0604065447981785,3.058850965150704,0.020816968154811304,0.019068133503952957,0.02045384777668472,0.021215798428274337,0.022523568674862996,7.137131954541616,6.044459087958731,6.970769251112398,7.47855333476389,8.05144011772867,5122048,2500,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.834138609468937,2.7487751788093706,2.857587924704623,2.8858270047229007,2.8433512372948915,0.02080702042439952,0.01907737404180525,0.020554354314103615,0.021149125723045063,0.022501711628064223,6.8210917860269555,5.725714193243926,6.68777784862631,7.1337490144884725,7.76390920476875
16.132701266842993,2.63081200876221,2.630930457748362,2.6316067406225563,2.6306545275968856,2.6303064371768095,0.020717280439582025,0.018889817646349925,0.020345567508672075,0.02120033517202121,0.02242868112907841,6.547697712107033,5.4230332962194705,6.362593551899809,6.916533134047224,7.486164605132471,6146048,3000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.4110354781150822,2.348374506218534,2.458525170649265,2.3990285867916024,2.4364501197848982,0.020762860483955602,0.018963767268360222,0.02020484269354384,0.021292193219201946,0.022572985039580416,6.34291297197342,5.234865301754328,6.057540794787837,6.694311708938792,7.376323422931491
15.99263838478201,2.223514765849814,2.2226297183907957,2.2234499366291303,2.2240712889669156,2.2241047844672455,0.020621742555563823,0.01876618437623113,0.020263182629800626,0.021108509014058925,0.02234278022022888,5.99478216881251,4.854552031350274,5.805416096387033,6.36322085755625,6.952259040269954,7170048,3500,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.0503748245537277,2.0482748909328223,2.0363504133576202,2.0926012185699965,2.026326260481605,0.020562399760819975,0.018585933213073138,0.020208317245859832,0.021173796412290724,0.022416055469365103,5.684583231806755,4.5559942664060396,5.517907228506381,6.020608283945771,6.719037537989407
15.716718774344491,1.8409088221343468,1.8400524710488815,1.8411349253397686,1.8413590314267037,1.8412436684280213,0.02055340993674717,0.01863226593904929,0.02016195689829956,0.021042546252533247,0.022364794785427213,5.486184102196062,4.319686836522904,5.279480995774707,5.85508093469364,6.48349215556995,8194048,4000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.6779060624539854,1.6457770022926093,1.7316709684828924,1.675866876423105,1.6609619320017908,0.020422245608642697,0.018499779875704125,0.020128810893029283,0.02105170783305815,0.022152079099785452,5.2025671750307065,4.0382530043244955,4.9930104188244755,5.645246256460942,6.216218385228355
15.212339829614608,1.488666177966345,1.4874418361766053,1.4891616613525351,1.4888580951000123,1.489327508853998,0.02048747338952842,0.018517878058340303,0.020126415081118544,0.02099679425540179,0.022294691070907504,5.019215798253911,3.8325145646070395,4.81503423240077,5.395626123087648,6.025343645506022,9218048,4500,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.3170399442315108,1.3707405932647554,1.299321383865815,1.272428803230716,1.326398090605885,0.020512520160991695,0.018506482605513196,0.020118460949687698,0.02090385899611627,0.022489785972657137,4.84957554936409,3.5850768942482185,4.657716628937492,5.2768860004916,5.861181250359244
14.368247939898607,1.1740056121884126,1.1731997096494307,1.1739055630745872,1.1739585150793515,1.1750657718825066,0.02042473012760711,0.018366155557161076,0.02006159151495102,0.021013123106506396,0.02225958263091563,4.610278640379383,3.3878366821108314,4.399559192627553,5.015921793206729,5.638755391954511,10242048,5000,,,,,,,,,,,,,,,
