<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
the	8501
and	6849
of	4915
to	4773
a	2060
in	1738
was	1702
he	1680
his	1662
Cao	1341
him	1104
that	1048
is	1025
with	994
you	906
for	899
had	867
I	804
as	789
The	781
they	773
He	722
be	721
but	708
Liu	708
not	683
were	668
have	641
Yuan	635
at	592
this	592
Zhang	585
on	582
them	579
will	571
are	564
men	562
their	551
from	535
sent	534
In	506
all	475
it	462
said	428
by	410
an	390
month	387
people	380
no	380
would	377
there	368
Sun	363
Yu	338
When	337
your	336
so	332
who	329
time	328
can	320
province	316
has	301
been	288
If	288
emperor	287
should	285
then	268
thousand	264
attack	261
Xu	260
came	258
one	257
went	257
out	255
more	255
army	249
day	247
Shao	245
You	244
Li	242
we	242
made	240
Dong	238
Yang	237
or	228
General	222
became	216
Han	216
man	213
back	213
my	212
Bei	212
up	211
empire	211
take	207
troops	207
against	206
when	206
only	200
do	200
however	197
Wang	193
than	192
great	192
good	191
Administrator	186
now	185
Then	184
make	183
appointed	183
They	183
took	181
commandery	181
Yan	176
Chen	173
Ji	170
go	166
others	165
into	164
if	164
over	161
Lu	161
Quan	161
soldiers	160
could	160
killed	159
other	158
Zhuo	158
Zhao	157
about	157
Liang	156
come	154
Shu	154
some	149
Lü	148
replied	148
Guo	146
Now	145
away	145
me	145
may	144
defeated	144
himself	142
Fu	142
Fan	141
Xun	139
city	138
first	137
attacked	137
Guan	136
own	132
did	132
also	131
Yi	130
Wu	129
office	128
brought	128
Bu	127
Excellency	125
left	125
heard	125
still	124
So	123
our	123
officials	121
imperial	121
officers	120
camp	119
asked	119
As	118
set	116
while	116
hundred	115
several	115
like	114
how	114
ten	112
Minister	112
This	112
another	111
Yellow	111
died	110
those	110
It	110
Zhou	109
Commandant	108
way	108
led	108
Grand	108
Qiang	107
Biao	107
Jing	106
Who	105
Wei	105
three	104
too	104
son	104
held	103
Huang	103
command	102
former	102
gave	102
Jin	102
Gongsun	101
family	101
state	100
what	100
On	100
Attendant	100
two	99
hold	98
King	98
All	98
any	97
Cheng	97
court	96
join	95
