<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
的	193156
人	65418
不	64997
年	63366
在	60700
爲	60656
有	51974
他	50520
是	49374
一	41253
都	37081
了	35389
説	33674
之	31708
又	30425
而	29360
三	28965
到	28798
以	26330
二	26022
就	25938
日	23707
中	20816
等	20657
用	20642
任	20467
上	19346
皇帝	19080
被	18484
五	18391
和	18167
各	17186
時	17119
四	16861
能	16792
後	16357
與	16142
多	15710
没有	15591
這	15272
從	15080
所	15022
官	14428
使	14119
他們	13733
月	13575
個	13260
來	13170
事	13158
將	13098
也	12987
大	12619
於是	11930
六	11554
要	11338
其	11181
兩	11048
軍	10972
於	10703
因	10394
次	10347
分	10270
設置	10098
把	9835
每	9590
元年	9558
請求	9546
給	9366
州	9345
縣	9320
十	9288
我	9068
下	8987
卷	8943
派	8894
朝廷	8857
尚書	8761
百姓	8522
很	8509
七	8457
天	8438
王	8404
命令	8374
入	8250
户	8149
同	8128
八	8104
品	7957
將軍	7797
至	7666
向	7378
去	7346
當時	7312
對	7311
行	7264
及	7258
加	7242
地	7203
刺史	7073
軍隊	6928
正	6893
數	6879
司	6875
設	6836
死	6760
任命	6760
得	6641
右	6590
改	6587
知	6563
進	6563
皇上	6539
九	6471
着	6408
不久	6359
左	6356
朝	6302
南	6299
府	6296
去世	6264
御史	6180
再	6147
讓	6126
節度使	6070
前	6034
叫	6028
可以	5978
此	5917
還	5916
授	5891
并	5824
下詔	5820
度	5820
天下	5789
里	5763
官員	5647
則	5642
道	5630
封	5627
自己	5626
星	5586
侍郎	5537
錢	5414
字	5395
路	5329
詔令	5317
升	5285
名	5259
北	5239
賜	5237
祭祀	5226
因爲	5166
認爲	5144
臣	5131
餘	5103
長	5101
兼	5087
出	5074
令	5071
作	5040
纔	4996
元	4971
未	4953
可	4953
太子	4948
家	4936
派遣	4908
由	4897
歲	4871
想	4849
者	4833
所以	4823
兵	4807
本	4776
西	4774
東	4761
使者	4680
禮	4650
如	4630
祭	4622
已	4613
如果	4608
内	4581
副	4579
作爲	4575
定	4562
後來	4560
初年	4484
命	4443
