<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
之	118334
以	80273
年	59480
不	53255
其	45642
為	42099
有	40610
人	37319
而	34591
曰	34485
一	32515
爲	32055
者	30985
三	29376
二	28782
於	24394
也	23795
至	23529
所	21657
及	20554
使	19169
與	18773
五	18705
日	18526
又	18499
上	18015
皆	17747
等	17689
事	17538
中	17322
官	17115
四	17057
自	16016
入	15712
置	15043
行	14457
言	14315
知	13868
大	13856
詔	13760
在	13544
軍	13472
復	13408
餘	13103
諸	12836
時	12828
從	12794
則	12679
月	12598
無	12417
得	12395
分	12336
乃	12278
初	12184
六	11792
後	11543
帝	11464
令	11462
出	10786
王	10627
下	10614
司	10548
兵	10537
如	10472
同	10392
各	10250
用	10006
數	9965
可	9944
十	9837
遷	9709
是	9669
將	9622
請	9621
立	9582
元年	9510
亦	9359
命	9325
卷	9248
改	9162
于	9159
加	9151
故	8773
尚書	8771
奏	8727
七	8686
遣	8638
州	8624
進	8562
户	8514
未	8455
品	8408
見	8392
八	8299
子	8229
臣	8177
多	8124
遂	7867
已	7851
賜	7800
右	7781
南	7722
都	7696
能	7692
將軍	7589
員	7446
前	7409
此	7408
左	7379
府	7346
歲	7332
還	7300
拜	7287
正	7266
刺史	7239
定	7229
卒	6963
度	6958
九	6933
兼	6917
縣	6864
道	6840
封	6820
來	6806
北	6764
制	6754
謂	6599
禮	6583
死	6476
相	6463
授	6447
賊	6433
本	6374
元	6346
民	6311
即	6307
犯	6282
欲	6229
國	6221
聞	6199
西	6172
東	6106
兩	6057
議	6036
里	6030
因	5994
當	5982
屬	5973
降	5922
金	5857
去	5804
法	5736
朝	5680
書	5664
非	5643
給	5617
長	5599
凡	5596
若	5548
地	5537
百	5493
除	5480
侍郎	5453
先	5430
矣	5343
歸	5342
天下	5341
并	5341
星	5314
始	5314
副	5265
名	5248
御史	5195
今	5150
省	5148
字	5135
殺	5128
路	5124
宜	5089
平	5082
直	5081
率	5076
家	5038
千	5004
節度使	4995
或	4984
公	4911
萬	4890
錢	4890
取	4873
每	4862
馬	4837
奉	4807
石	4785
