grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,nll,nll_q0,nll_q1,nll_q2,nll_q3,samples,step,eval_loss,eval_loss_q0,eval_loss_q1,eval_loss_q2,eval_loss_q3,eval_mse,eval_mse_q0,eval_mse_q1,eval_mse_q2,eval_mse_q3,eval_nll,eval_nll_q0,eval_nll_q1,eval_nll_q2,eval_nll_q3
17.035115508731224,6.2520157992839795,6.119036927251872,6.251966006855547,6.397351021598838,6.24495217457966,0.8946865033358335,0.8248819947720536,0.8864508050249554,0.9193228573285767,0.9451773740627151,17.306034088134766,13.816400392229701,16.37245681349317,18.44790967502949,20.418744465156834,2048,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6.3233673125505465,6.164138527831646,6.339517328712125,6.334473072646379,6.44666864497322,0.8750818613916638,0.8060374353871196,0.8675323364189298,0.8967364276339396,0.927205777963003,25.214179217815403,20.96881301860622,24.865264322897442,26.557277870560444,28.291942796253032
17.20328814703016,6.045958461315029,6.042117112686959,6.044898801425749,6.0500113119212555,6.047275506166973,0.7074703989242852,0.6732737186281698,0.7062804325275245,0.7174752468829566,0.7329342768972361,37.24641287993407,26.853571440921467,37.18365486405082,41.142657488569,43.814944956560865,206848,100,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5.918436422944069,5.835533463129804,6.03826454777517,5.887492906028182,5.9210203501060485,0.5766923297196627,0.5423920437937884,0.5942197196588733,0.578286467738464,0.5953700613207992,39.05503833293916,29.524779212062285,40.65984485526841,41.87227838413853,45.11991280569157
16.4523873444102,5.704658837870286,5.704928337025385,5.7051054767531815,5.70284449292307,5.706243945440219,0.4666506969339662,0.44739652703284455,0.46713176831695974,0.4729128422337547,0.479150491559475,38.047209830835875,31.98595344947408,38.43102913034386,40.26196982376,41.50145070276487,411648,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5.633135989308357,5.612678846932178,5.70825935827387,5.5770133053692295,5.629307459448535,0.36172841489315033,0.343042259547194,0.3674634040746468,0.3639373797080153,0.3730465652687206,33.560849785804734,29.679802793060407,34.278101799183325,34.73873957096301,35.71838680524678
16.327473541845574,5.425162182517717,5.424091968543363,5.425080269746264,5.427945053135058,5.424053380136668,0.2854149182253217,0.27310688490063467,0.28543170523606387,0.2892025787638413,0.29389530981920264,29.34548541442327,26.376963676161168,29.55371489751371,30.35776145276033,31.081145156597085,616448,300,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5.251481294631959,5.241901141678679,5.025539817292227,5.363961023222086,5.368638331347173,0.21794170653447503,0.20459078761632568,0.21619754920067424,0.22117615750793254,0.22983318331218008,24.49143266677856,21.36274162307383,24.811320139920987,25.15058536601785,26.655698032190347
16.294789940856635,5.218380270140682,5.22011383064138,5.216314989723961,5.216245412971353,5.221166716823568,0.17296095983996057,0.16291612815350792,0.1725777391706695,0.17643530832379706,0.179996647021974,21.165896694123848,19.141476236133418,21.252507527167946,21.90852262671255,22.378479375989187,821248,400,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5.159033447504044,5.19675662557489,5.233540459606011,4.9381688776687325,5.293942935276237,0.13504595495760446,0.12633913844516592,0.1366545174392893,0.13434173923870205,0.14279083246517854,18.100200414657593,16.56194064543419,18.336173107169262,18.285135883221518,19.167336121934373
